lemma	lat	eng
removeo	remoti britanni	far off Britons
renideo	domus argentō auroque renidet	a house shining with gold and silver
reperio	quanta esset īnsulae magnitūdō reperire nōn poterat	he was not able to ascertain how great the size of the island was
repeto	quaestio perpetuā dē repetundis	the standing court for crimes of extortion
repono	repete temporis illīus memoriam	recall the memory of that time
repono	ruptos vetustate pontes reposuit	he restored bridges broken by old age
repono	cibus in hiemem repositus	food stored up for winter
requiesco	paulum requiescebant	they rested for a little bit
requiro	magnam rēs dīligentiam requisivit	the matter required great diligence
reor	nōs Danaōs abiisse ratī urbe exiimus	we went out from the city, thinking that the Danaans had gone away
res	omnem rem familiārem perdidi	I have squandered all the family property
res	rēs pūblica	the republic
res	rēs secundae aut adversae	good fortune or bad
res	rēs Populī Rōmānī perscrībere	to write a full description of the acts of the Roman people
res	hīs rēbus adductī abiērunt	persuaded by these things, they went away
res	rē vēra	really
resisto	restitērunt Rōmānī tamquam vōce caelestī jussī	the Romans halted as though commanded by a heavenly voice
resisto	dolōrī vix resistere possum	I am scarcely able to resist the pain
resolvo	ignis aurum resolvit	fire melts gold
resolvo	resolutus fatigatione	enervated by weariness
resono	domus resonat magnō clāmōre	the house resounded with a loud clamor
respicio	frūstrā absentem respexit amīcum	in vain he looked back for his absent friend
respicio	dī hominēs respiciunt	the gods look after men
respondeo	institi ut mihi responderet quis esset	I urged him to tell me who he was
respondeo	amōrī amōre respondit	he responded to love with love
restituo	rēs perditas restituit	he restored the things lost
restituo	agrum veientibus restituamus	let us return the field to the Veientes
retineo	vix retineri possum quīn aggrediar	I can scarcely be restrained from approaching
retineo	memoriā retinēmus	we keep in mind
revertor	domum reversi ea nūntiāvērunt	having returned home they announced these things
reverto	domum reversi ea nūntiāvērunt	having returned home they announced these things
rex	urbem rōmam ā prīncipiō rēgēs habuērunt	from the beginning, kings ruled the city of Rome
rideo	dum rīdet fortūna	while Fortune smiles
ripa	is amnis nūllīs rīpīs coercitus est	that stream has not been confined within any banks
rivus	propter aquae rivum	on account of the stream of water
robur	nāvēs factae ē rōbore	ships made from oak
robur	rōbore corporis stolide ferōx	brutishly taking pride in physical strength
robur	rōbur mīlitum	the strength of the soldiers
rogo	lēgātōs ad caesarem mittunt auxilium rogatum	they send ambassadors to Caesar to ask for aid
rogo	sententiam rogātus dīxit ...	having been asked his opinion, he said...
rogo	rogō, unde veniās	I ask please, where are you coming from?
rogatio	rogationem tulit	he brought forward a bill
ruo	nōn aliter quam sī ruat omnīs Carthāgō	not in another way than if all Carthage came to ruin
ruo	in exitium ruere	to rush to one’s destruction
ruina	ruīnā Cannensis	the disaster at Cannae
rumpo	ferrō nōbīs rumpenda per hostēs est via	our passage through the enemy must be forced by the sword
rumpo	foedera rūpērunt	they have broken the treaty
rus	rūre fruī	to delight in the country
rus	rūra paterna	ancestral estates
sacer	īnsula Delus Apollinis sacra est	the island of Delos is sacred to Apollo
sacramentum	Tiberio sacrāmentum dīxērunt cōpiae	the troops took an oath of alliance to Tiberius
saeculum	ea saecula hominum abstulit aetās	age takes away this generation of men
saeculum	saeculum spatium annōrum centum vocavērunt	they called a lifetime the span of one hundred years
saepe	mors ob oculōs saepe versata est	death often lingered before their eyes
saevio	in obsidēs innoxiōs saeviērunt	they raged against innocent hostages
saevio	mare ventīs saevit	the sea rages with winds
saevus	leōne saevior	fiercer than a lion
saevus	saeva necessitas	savage necessity
sagitta	stymphalia mōnstra certa sagittā perculit herculēs	Hercules smote the Stymphalian monsters with unerring arrow
salsus	longa sulcant vada salsa carīnā	the long keels ploughed the salted straits
saltus	pyrenaeos saltus occupari jussit	he ordered the mountain-valleys of the Pyrenees to be seized
salus	haec nōbīs saluti fuērunt	these things were to our benefit
salus	Cicerō Attico suō S. D. P. (salūtem dīcit plurimam)	Cicero sends greetings to his friend Atticus
sanctus	germani hospitēs sanctos habent	Germans hold guests sacred
sanctus	veterēs et sānctī virī	old and sacred men
sane	rēs sānē difficilis	a very difficult thing
sane	cōnsulis ōrātiō haud sānē laeta fuit	the speech of the consul was not at all cheerful
sanguis	purae ā cīvīlī sanguine manūs	hands unpolluted by the blood of citizens
sapiens	tempori cēdere, id est necessitati parere, sapientis est	to yield to time, that is, to give way to necessity, is the mark of a wise man
satio	desiderium suum satiavit	he fulfilled his desire
satis	satis superque	enough and more
satis	haec eī satis opportune accidērunt	these things happened to him suitably enough
saxum	templa saxō structa vetusto	temples built from ancient rock
scelus	scelere velandum est scelus	wickedness must be covered up by wickedness
scientia	scientiā atque ūsū nauticarum rērum reliquōs antecedunt	they surpass the rest with respect to the knowledge and use of ship matters
scilicet	scīlicet ita rēs est	certainly the matter is thus
scio	haud sciō an hoc futūrum sit	I do not know at all whether this will be
scio	scīre cupiō quōmodo rēs sē habeat	I want to know how you are
scribo	nōn dubito quīn ad pīsōnem scripserit	I do not doubt that he has written to Piso
seco	mediōs aethiopas nīlus secat	the Nile cuts through the middle of Aethiopia
secretus	abductus in secretum	he was whisked off to an undisclosed location
secundus	secundo flūmine	downstream
secundus	rēs secundae aut adversae	good fortune or bad
sed	nōn modo ... sed etiam	not only... but also
sedeo	quid sēdēs, quid moraris?	why are you sitting still, why do you delay?
sedeo	nunc mihi sedet jūdicium	my mind is now made up
sedes	priōrēs sēdēs tenet homerus	Homer holds the foremost seats
sedes	num montēs mōlīrī sēde suā paramus?	should we prepare to move mountains from their foundations?
seditio	verēbātur nē quā in castrīs sēditiō oriretur	he was afraid that some insurrection might arise in the camp
seges	seges prope jam matura erat	the corn was already nearly ripe
semel	hoc semel ille iterumque neglexit	time and again he disregarded this
semen	stirps ac sēmen omnium mālōrum	the root and seed of all evils
semper	animus semper appetit aliquid agere	the soul always attempts to do something
senatus	Senātus Populusque Rōmānus	the Senate and the Roman People
senatus	lēgātīs eōdem diē senātūs datus est	on the same day the Senate gave audience to the legates
senex	nēmō est tam senex quī sē annum nōn putet posse vīvere	no one is so old that he does not think he can live a year
senex	manent ingenia senibus, modo permaneat studium	old people keep their talents, provided that they keep their eagerness
sensus	sēnsūs videndi	sense of sight
sensus	vultūs sēnsūs animī indicat	the face makes known the sentiments of the soul
sententia	quot hominēs tot sententiae	there as as many different opinions as there are people
sententia	mea quidem sententia	in my opinion at least
sentio	variōs rērum colōrēs sentiunt oculī	the eyes perceive various colors of things
sentio	quid cōgitent mē scīre sentiunt	they perceive that I know what they are thinking
sentio	quod sentio scrībere mihi in animō est	I intend to write what I think
sepelio	sepultus est juxtā viam appiam	he was buried near the Appian Way
septem	septem exitus ē domō fēcerat	he had made seven exits out of his home
sequor	amicitiae causā caesarem secūtī erant	they had followed Caesar for the sake of friendship
sequor	plerique sententiam scipionis sequuntur	most men follow the opinion of Scipio
sequor	grātiam ejus multī sequēbantur	many were seeking his favor
sero	nūllam sacrā vīte prius sēverīs arborem	you must plant no tree before the sacred vine
sero	sate sanguine divum	O you born from the blood of gods
sermo	imprimis nōbīs sermo dē tē fuit	we had a conversation about you especially
sermo	sapientes Graeco sermōne ea tractavērunt	wise men conducted these in Greek
serus	spē omnium sērius bellum	a war later than anyone expected
servo	caecuba centum clavibus servata	Caecuban wine locked away with one hundred keys
servo	palinurus dum sīdera servat, excīdit navi	while Palinurus was paying attention to the stars, he fell out of the ship
servio	nūllī cupiditati servīre oportet	to no desire should one be a slave
servitium	servitia ad īnflammandam urbem incitavit	he incited the slave class to light the city afire
servitus	nec totam servitūtem patī possunt, nec lībertātem	they cannot endure total servitude, nor total liberty
servus	saevitiam in servōs adhibēre	to make use of brutality on slaves
seu	sīve medicum adhibuerīs sīve nōn adhibuerīs, convalēscēs	whether you call the doctor or you do not call him, you will recover
si	abīre nūllō modo possim etiam sī velim	there’s no way I could leave even if I wanted to
si	sī aliter accidisset	if it had happened differently
si	ē castrīs exiērunt sī quid frūmentī reperire possent	they marched out of the camp to see if they could find any provisions
sic	sīc sē rēs habet	thus the matter stands
sicut	sīcut fīlium mē accēpit	he received me just like a son
sidus	nox sīderibus illustris	a night lighted up by stars
signum	signum proeliī committendī dēdit	he gave the signal of joining battle
signum	signa inferre hostibus	to bear the standards against the enemy
signum	ē Pario formatum marmore signum	a statue fashioned from Parian marble
silentium	silentium ejus in superbiam accipiebatur	his silence was taken for pride
silva	timōre perterriti in silvās fugērunt	terrified with fear, they fled into the woods
similis	similī ratiōne atque ipse fēcerit sē dēfendere iīs imperavit	He commanded them to defend themselves in the same way as he had done
similis	quid illī simile bellō fuit?	what was like that war?
simul	simul omnibus portīs erupērunt	they burst out from all the gates at once
simul	simul procul cōnspexit armātōs, recessit	as soon as he caught sight of armed men far off, he withdrew
simulacrum	simulacrum cereris ē sacrario convellendum curavit	he took care of tearing the image of Ceres out of the shrine
simulacrum	simulacrum lībertātis	the semblance of freedom
simulo	deditionem ac metum simulabant	they were feigning surrender and fear
sine	sine dubiō	without a doubt
sino	nōn feram, nōn patiar, nōn sinam	I will not bear, I will not endure, I will not allow
singuli	crēscit in diēs singulōs hostium numerus	the number of enemies grows day by day
singuli	singulī singulōs aggressi sumus	we each attacked one man
sinister	cornū dextrō vel sinistro	on the right or left wing
sinister	sinistrōs sermōnēs dē Tiberio habuisse incusatur	he is accused of having made unfavorable speeches about Tiberius
sinus	māter ossa in sīnum lēgit	the mother collected the bones into her lap
sinus	in urbis sinū sunt hostēs	there are enemies in the heart of the city
sinus	in eō sinū Carthāgō sita est	Carthage was located on that bay
sitis	minimē sitim aestumque tolerant	they endure thirst and heat very little
situs	terrā in mediō mundō sita est	the earth is located in the middle of the universe
socius	sociī ā nōbīs dēfēcērunt	our allies abandoned us
socius	omnium labōrum, periculorum meorum socius fuit	he was a partner of all my labors, all my dangers
socordia	socordiae sēsē atque ignāviae tradidērunt	they gave themselves over to folly and laziness
sodalis	eum verētur ut deum, amat vērō ut sodālem	he reveres him like a god, but in truth he loves him like a companion
sol	sōl oriens atque occidens	the rising sun and the setting sun
soleo	ut fierī solet	as it usually happens
soleo	Germanico nē solitī quidem honōrēs contigērunt	for Germanicus, not even the accustomed honors came to pass
solidus	crateres aurō solidi	bowls of solid gold
solidus	solida ac perpetuā fidēs	solid and unbroken faith
sollicitudo	magna sollicitudine mē affecisti	you have affected me with great anxiety
solum	lūmina defixa in solō tenebant	the stars unfastened from the sky clung to the ground
solum	nōn sōlum reī pūblicae sed etiam tibi ipsī nocebis	you will harm not only the republic but also you yourself
solus	tibi sōlī ea nārrāre velim	I would like to tell these things to you alone
solus	numquam minus sōlus sum quam cum sōlus sum	I am never less lonely than when I am alone
solvo	prīmīs tenebrīs solvit nāvem	at dusk he set sail
solvo	somnō vinoque solutus	relaxed by sleep and wine
solvo	aes aliēnum solvere oportet	it is necessary to pay the debt
somnus	dormientes spectatores ē somnō excitavērunt	they roused the dozing spectators from their sleep
sonitus	Juppiter ingentem caelō sonitum dēdit	Jupiter thundered mightily in the sky
sordidus	locō nōn humili sōlum sed etiam sordido ortūs	he arose not just from a humble place, but even from a base one
sors	ei prōvinciā Sicilia sorte ēvēnerat	the province of Sicily fell to him by lot
sors	nescia mēns hominum fātī sortisque futurae	the mind of men is ignorant of fate and what the future has in store
sors	respōnsa sortium	answers taken from lots
spargo	crēdō deōs immortālēs sparsisse animōs in corpora hūmāna	I believe that the immortal gods have distributed souls in human bodies
spargo	spargite humum foliīs	sprinkle the ground with leaves
spargo	sparsam tempestāte classem vīdit	he saw the fleet scattered by the storm
spatium	sōlis lūx per totum caelī spatium sēsē diffundit	sunlight spreads itself throughout the whole space of heaven
spatium	reliquae legiōnēs magnum spatium aberant	the rest of the legions were a great distance away
spatium	quantum fuit diēī spatium	as much as was the span of a day
species	dolōris speciem ferre nōn possunt	they are not able to endure the sight of pain
species	fraudi imponere aliquam speciem iuris	to impose an appearance of justice upon fraud
specto	spectatum veniunt, veniunt spectentur ut ipsae	they come to look, they come to be looked at themselves
specto	nihil spectat nisi fugam	he looks to nothing except flight
specto	quō spectat haec ōrātiō?	what end does this speech look to?
spero	dēsine fāta deum flectī spērāre precando	stop hoping that the decrees of the gods will be changed by prayer
sperno	nōn respondit, nōs sprevit et prō nihilō putavit	he did not respond, he scorned us and considered us worth nothing
spes	inter spem metumque iactari	to hesitate between hope and fear
sponte	id mihi suades quod sponte jam fēcī	you advise me of this thing which I have already done of my own accord
sto	praeter spem stāre muros vīdērunt	they saw that, beyond hope, the walls were standing
sto	stāre rēs pūblica nisi ūnō regente nōn potest	the reublic cannot stand except with a single man ruling
sto	condicionibus nōn stābant	they were not honoring the agreements
statim	statim cūriā, deinde Italiā exactus est	immediately he was driven out from the Senate house, then from Italy
statio	prō portīs castrōrum in statiōne erant	they were on post before the gates of the camp
statuo	super tumulum nōluit quidquam statuī nisi columellam	he did not want anything to be erected above his tomb except a small column
statuo	Anaximenēs āera deum statuit	Anaximenes postulated that the air was a god
statuo	statuitur nē sit prōvinciā creta	it is decreed that Crete not be a province
sterno	per stratos caede hostēs	through the midst of enemies thrown to the ground in slaughter
sterno	placidi stravērunt aequora ventī	gentle winds smoothed the seas
stipendium	stipendium victōrēs Victīs imponere solent	victores are accustomed to impose tribute on the conquered
stipendium	pecūniā data in stipendium	money given for tribute
stipendium	equestria stīpendia meruit	he earned an equestrian wage
stirps	stirps ac sēmen omnium mālōrum	the root and seed of all evils
stirps	stirpe dīvīna satus	born of divine lineage
strenuus	vir fortis ac strenuus	a man strong and vigorous
strepitus	consonat omne nemus strepitū	thw whole grove rang with the din
strideo	serpēns strīdēns	a hissing serpent
struo	templa saxō structa vetusto	temples built from ancient rock
struo	cōpiās ante frontem castrōrum struxit	he drew up the troops in front of the camp
struo	crimina struxit	he instigated crimes
studeo	Germani agriculturae nōn student	Germans are not diligent in agriculture
studeo	Catilīnae Caelius studuit	Caelius was favorable to Catiline
studium	nōn quicquam aliud est philosophia quam studium sapientiae	philosophy is nothing other than an eagerness for wisdom
studium	Pompējus significat studium erga mē nōn mediocre	Pompey expresses a not insignificant fondness toward me
stultus	stultum est stulto aurēs praebēre	it is foolish to offer one’s ears to a fool
stuprum	fīliae ejus stuprō violatae erant	his daughters were violated in dishonor
suadeo	senatui suasit nē pāx cum Poenis fieret	he urged the Senate not to make peace with the Carthaginians
sub	sub ipsīs numantiae moenibus	under the very walls of Numantia
sub	sub eōdem tempore	at the same time
sub	sub iugum missī victi sunt	the conquered were sent under the yoke
sub	sub noctem	shortly before night
sub	sub adventum praetōris	just before the arrival of the praetor
subicio	ignem tēctīs et moenibus subiecērunt	they lit fire below the roofs and walls
subicio	cōpiās integras vulneratis defessisque subiciebat	he substituted fresh troops for those wounded and tired
subicio	tū, Rōmānē, memento parcere subiectis et debellare superbos	you, Roman, remember to spare your subjects and to bring war to the arrogant
subigo	Galliā devicta et subacta erat	Gaul was conquered and subjugated
subigo	ut ederet sociōs subigi nōn potuit	he could not be compelled to betray his allies
subeo	hostēs mūrō subibant	the enemies approach the wall
subeo	subeunt illī fratresque parensque	both his brothers and his parents come to his mind
subito	difficile est longum subitō dēpōnere amōrem	it is hard to end an enduring passion suddenly
subitus	ut sunt Gallōrum subita et repentina cōnsilia	as the resolutions of the Gauls are sudden and unexpected
sublimis	prospexi Italiam summā sublīmis ab undā	lifted up by the highest wave, I saw Italy off in the distance
sublimis	sublīme genus dicendi	a lofty mode of speaking
subsidium	hīs difficultatibus duae rēs subsidiō erant	in these difficulties two things were of support
subsidium	subsidia submitti nōn poterant	the auxiliary troops could not be dispatched
subvenio	subvenisti hominī jam perdito	you have come to the aid of a man already ruined
succedo	tecto imbris vitandi causā successit	he went under the roof the the sake of avoiding the rain
succedo	post ejus mortem frāter rēgnō successit	after his death his brother succeeded to the rule
sui	nēmō nōn benignus est suī iudex	nobody is a harsh judge of himself
sum	homō nēquissimus omnium quī sunt, quī fuērunt, quī futuri sunt	the most worthless man of all who now are, who were, and who will be
sum	ejusdem aetātis fuit	he was of the same age
sumo	distat sumasne pudenter an rapias	there is a difference between whether you acquire modestly or seize
sumo	diem ad deliberandum sumpsit	he spent the day deliberating
summa	ejus reī satis erit summam dīcere	it will be enough to say the main point of this matter
summa	summam octoginta milium excessit	it surpassed a total of 80,000
super	purpureās super vestēs coniciunt	they throw purple robes from above
super	super tumulum nōluit quidquam statuī nisi columellam	he did not want anything to be erected above his tomb except a small column
super	exercitum super morbum etiam famēs affecit	beyond disease, famine also afflicted the army
supero	numerō hostis, virtūte Rōmānus superabat	the enemy had the upper hand in number, the Romans in virtue
supero	pars quae sōla meī superabit corporis, ossa	the only part of my body which will survive, my bones
superbus	superba dominātiō tandem oppressa est	finally the tyrannical oppression has ended
supersum	nōn multum ad occāsum sōlis temporis supererat	not much time remained until sunset
superus	omnēs dī deaeque superī	all the gods and goddesses above
superus	annō superiōre	in the previous year
superus	Julia suprēmum diem obiit	Iulia died
supplex	genua amplectēns effātur tālia supplex	clinging to his knees as a suppliant, he spoke forth such things
supplicium	suppliciīs deōs fatigavērunt	they wearied the gods with prayers
supplicium	aliquem suppliciō afficere	to inflict someone with punishment
supra	totō vertice suprā est	he is taller by a whole head
surgo	multō ante lūcem surrēxit	he rose long before dawn
suscipio	susceptum perfice mūnus	finish the duty you have undertaken
suscipio	tālia facinora impūne suscepisse parum habuērunt	they did not think it was enough to have undertaken such crimes with impunity
suspicio	in suspicionem incīdit regni appetendi	he fell into suspicion of striving for kingly power
sustineo	cīvitātis dignitātem atque decus sustinēre	to support the dignity and honor of the state
sustineo	Senātus eōs querentes nōn sustinuit	the Senate did not hold out against those complainers
suus	suum cuique redde	grant to each his own
tabula	lēgēs duodecim tabularum	the laws of the twelve tables
tacitus	contumēliam tacitus tulit	he endured the insult silently
tacitus	aliquid tacitum relinquere	to pass over something in silence
talis	quī tālia audet, summā laude dignus est	he who dares such things is worthy of the highest praise
tam	nēmō est tam senex quī sē annum nōn putet posse vīvere	no one is so old that he does not think he can live a year
tam	nōn tam praeclarum est scīre Latīnē quam turpe nescire	it is not so honorable to know Latin as it is shameful not to know it
tamen	sī jūre possēs eum accūsāre, tamen id pie facere nōn possēs	if you were able to find fault with him justly, nevertheless you would not have been able to do it piously
tametsi	quae tametsī Caesar intellegēbat, tamen quam mitissime potest lēgātōs appellat	and notwithstanding that Caesar understood these things, nevertheless he addresses the legates as gently as he can
tamquam	hī vivunt, quī ē corporum vinculīs tamquam ē carcere ēvolāvērunt	these live, who have sprung out from the chains of the body as if from jail
tamquam	cēterī, tamquam ita necesse sit, sequuntur	the rest, as if this is necessary, follow
tango	minae Clodii modice mē tangunt	the threats of Clodius touch me very little
tantum	tantum temporis	so much time
tantum	nōtus est mihi nōmine tantum	he is known to me by name only
tantummodo	tantummodo vēlīs	one would wish for so much
tantus	tantae molis erat Rōmānum condere gentem	it was a task of such a great size to found the Roman race
tardus	nēmō erat adeō tardus aut fugiēns labōris	no one was so slow or averse to labor
taurus	ille taurus quī vexit Eurōpam	that is the bull which carried Europa
tectum	dī immortālēs suō nūmine et auxiliō urbis tēcta defendunt	the immortal gods protect the roofs of the city with their divine will and aid
tego	manifestam defectionem vīrium tegēbat	he was concealing his obvious exhaustion
tego	aliquem tegere ac tuērī	to protect and defend someone
tellus	tellūs, quae est media, nōn movētur	the earth, which is in the middle, is not moved
telum	tēla proprie dīcuntur ea quae missilia sunt	those weapons which may be hurled are properly called tela
temere	forte, temere, cāsū plēraque fiunt	most things happen by chance, at random, by accident
temeritas	numquam temeritas cum sapientia miscetur	never is rashness mixed with wisdom
tempero	venenum temperare	to mix in poison in due proportion
tempero	cīvitātēs temperare lēgibus	to regulate the state with laws
tempero	temperare ab injūriā	to refrain from injustice
tempero	linguae temperare	to be moderate in speech
tempestas	fuērunt eā tempestāte, quī haec crēderent	there were at that time some who believed these things
tempestas	tempestates gubernātor prōvidet	a helmsman gives his attention to storms
templum	templum deō statuit	he erected a temple to the god
tempora	omnibus hīs nivea cinguntur tempora vitta	all these men’s temples are girded with snow-white head-bands
tempto	quamvīs sint sub aquā, sub aquā maledicere temptant	although they are under water, under water they try to speak curses
tempto	gravis autumnus omnem exercitum valetudine temptāverat	the unhealthy autumn had assailed the whole army with sickness
tempus	aliēnō tempore	at an unfavorable time
tempus	tempori cēdere, id est necessitati pare  rē, sapientis est	to yield to time, that is, to give way to necessity, is the mark of a wise man
tendo	manus ad caelum tendens deōs testēs invocabat	stretching his hands to the sky, he called on the gods as witnesses
tendo	unde venīs et quō tendis?	where have you come from, and where are you headed?
teneo	ventō intermissō cursum tenēre nōn potuit	the wind having been interrupted, he was not able to hold his course
tenuis	animae defunctorum tenuēs	unsubstantial souls of the dead
tenuis	magnae quondam urbis tenue vestigium	the thin trace of a once great city
tero	omnem aetātem in hīs discendis rēbus trīvit	he spent a whole lifetime in learning these things
tergum	omnēs hostēs terga vertērunt	all the enemies turned their backs
terra	terrā marique	on land and sea
terra	terra in mediō mundō sita est	the earth is located in the middle of the universe
terra	saxa dē terrā sustulērunt	they lifted rocks up from the ground
terreo	totam urbem caede incendiisque terrebat	he was terrifying the whole city with slaughter and flames
terror	maximum terrorem hostibus infērunt	they inflict a great terror on the enemy
testor	id Cicerō pluribus epistulis testātur	Cicero asserted this in many letters
testis	manus ad caelum tendens deōs testēs invocabat	stretching his hands to the sky, he called on the gods as witnesses
thalamus	foedus thalamī	marriage contract
timeo	timebant nē circumvenirentur	they were afraid that they would be surrounded
timeo	rēbus suīs timebant	they were afraid for their own affairs
timor	timōre perterriti in silvās fugērunt	terrified with fear, they fled into the woods
tingo	in altō Phoebus aequore tingit equōs	the Sun bathes his horses in the deep sea
tolero	minimē sitim aestumque tolerant	they endure thirst and heat very little
tolero	corpus labōris tolerans	a body tolerant of hardship
tollo	eō aspectū exterrita clāmōrem sustulit	she shrieked, terrified at that sight
tollo	mēnsam tolli jubet	he orders the table to be removed
tollo	memoriam alicujus reī tollere	to abolish the memory of some thing
tormentum	verberibus ac tormentis quaestionem habēre	to hold an examination by floggings and tortures
tormentum	tormentis hostēs propulērunt	they urged the enemy with torture
torqueo	terra circum axem sē convertit et torquet	the land twists and turns itself around its axis
torqueo	hastam torquere	to brandish a spear
tot	quot hominēs, tot sententiae	however many people, so many opinions
totus	imminent duo rēgēs toti Asiae	two kings threaten all of Asia
tracto	sapientes Graeco sermōne ea tractavērunt	wise men conducted these things in Greek
trado	ei testamentum legendum trādidit	he handed over the will to him for reading
trado	traditur memoriae	it is handed down to memory
traho	dūcunt volentem fāta, nōlentem trahunt	the fates lead the willing, but they drag the unwilling
traho	rem dē industriā trahebant	they dragged out the matter 
transfero	sed, sī placet, sermōnem aliō trānsferāmus	but, if you please, we will direct the speech elsewhere
tremo	tōtus tremō horreōque	I am entirely trembling and shuddering
trepido	tōtīs trepidatur castrīs	there is confusion all throughout the camp
tres	tria milia hominum	three thousand men
tribuo	tribuere suum cuique	to bestow to each his own
tribuo	id valetudini tribuit	he granted this on account of his health
tribunus	tribūnī plēbis nunc fraudem, nunc neglegentiam cōnsulum accūsābant	the tribunes of the people were reproaching now the deceit, now the negligence of the consuls
tribunus	tribūnus mīlitum, mīlitāris	a tribune of the soldiers, 
triduum	trīduī viam prōcesserat	he had advanced for a journey of three days
triginta	in legiōne sunt centuriae sexāgintā, manipuli trīgintā, cohortes decem	in a legion there are sixty centuries, thirty maniples, ten cohorts
tristis	trīstis vultūs	gloomy expression
tristis	trīstia dōna cinerī Hectoris libant	they offer sad gifts to the ashes of Hector
triumphus	Senātus triumphum Africanō dēcrēvit	the Senate decreed a triumph for Africanus
tueor	nīl aliud nisi aquam caelumque tuentur	they see nothing else but water and sky
tueor	aliquem tegere ac tuērī	to protect and defend someone
tum	tum dēmum cīvitās lībera erit	then indeed the citizen body will be free
tum	tum mittendi lēgātī fuissent, cum Perseus urbēs obsīderet	then the ambassadors ought to have been sent, when Perseus was besieging the cities
tum	cōnsilia cum patriae tum sibi inimīca cēpit	he adopted policies unfavorable both to the fatherland and to himself
tumultus	magnō cum tumultū castrīs egressi sunt	they exited from the camp with a great uproar
tumultus	tumultum esse dēcrēvit Senātūs	the Senate determined that there was rebellion
turba	urgeris turbā circum tē stante	you are pressed with a crowd standing around you
turbo	in maximis turbinibus reī pūblicae nāvem gubernavi	I steered the ship of state during the greatest whirlwinds
turma	inter equitum turmas	among squadrons of cavalry
turpis	aspectus deformis atque turpis	a foul and deformed sight
turpis	illī turpis vīta integra fāma potior fuit	for him a shameful life was preferable to an unsullied reputation
turris	pauperum tabernae regumque turres	the huts of poor men and the towers of kings
tus	dūcere tūra naribus	to sniff incense
tutus	tutus ab īnsidiīs inimīcī	same from the plots of one’s enemy
tuus	tua rēs agitur pariēs cum proximus ārdet	your property is disturbed when a neighboring wall is on fire
tyrannus	tyrannorum ingeniīs mors est remedium	for the tempers of tyrants, death is the remedy
uber	terrā antīqua potens armīs atque ubere glaebae	an ancient land powerful due to its arms and the fertility of its soil
ubi	ubi nōn sum, ibi est animus	where I am not, there is my spirit
ubi	ubi gentium?	where in the world?
ubi	ubi dē ejus adventū certiores factī sunt	when they were informed about his arrival
ullus	sine ūlla dubitatione	without any hesitation
ulterior	Gallia ulterior	the far-away region of Gaul
ultra	nec ultrā mōrātus	without further delay
ultro	nōn debui tibi pecūniam, ultrō ā mē mutuatus es	I did not owe you money, moreover you borrowed from me
ultro	ultrō aliquid offerre	to offer something of his own accord
umbra	collēs affērunt umbram vallibus	hills bring shade to the valleys
umbra	nē reamur umbrās inter vīvōs volitāre	let us not think that ghosts fly about among the living
umidus	nox ūmida caelō praecipitat	dewy night is sinking from the heaven
umquam	sī quid numquam orītur, nē occidit quidem umquam	if something never rises, it also does not ever fall
una	pugnatur ūnā omnibus partibus	there is fighting everywhere at the same time
unda	prospexi Italiam summā sublīmis ab undā	lifted up by the highest wave, I saw Italy off in the distance
unde	unde venīs et quō tendis?	whence are you coming, and whither are you striving?
undique	caelum undique et undique pontus	sky on all sides and sea on all sides
unicus	unicus fīlius	only one son
unicus	vir unicus in omnī fortūnā	a man unique in every fortune
universus	crūdēlitāte ūnīus oppressi erant ūniversī	all were oppressed by the cruelty of one
urbanus	rūstica et urbāna vīta	country and city life
urbanus	homō nōn sōlum sapiēns, vērum etiam, ut nunc loquimur, urbanus	a man not only wise, but truly also, as we now say, refined
urbs	urbem Rōmam ā prīncipiō rēgēs habuērunt	from the beginning, kings ruled the city of Rome
uro	ūrendō populandōque gessērunt bella	they waged war by burning and laying waste
uro	ūritur īnfēlīx Dido	unlucky Dido is inflamed with passion
urgeo	urgēris turbā circum tē stante	you are pressed with a crowd standing around you
urgeo	urgēbat hominum esse istam culpam, nōn deōrum	he was urging that that was the fault of men, not gods
usque	ab īmīs unguibus usque ad verticem summum	from head to foot
usque	usque ā pueritiā	all the way since childhood
usus	ferreus assiduō cōnsūmitur ānulus ūsū	the iron ring is destroyed by constant use
usus	scientiā atque ūsū nauticārum rērum reliquōs antecedunt	they surpass the rest with respect to the knowledge and use of ship matters
usus	magnō ūsuī reī pūblicae fuit	he was of great use to the republic
ut	sed, ut plērumque fit, major pars meliōrem vīcit	but, as it frequently happens, the bigger part conquered the better
ut	ut prīmum loquī posse coepī, inquam	as soon as I began to be able to speak, I said
ut	Rōmānī ab aratro adduxērunt cincinnatum, ut dictator esset	the Romans led Cincinnatus from his plough to be dictator
ut	tanta tempestās coorta est, ut nūlla nāvis cursum tenēre posset	such a great storm arose that no ship was able to hold its course
uterque	densis ictibus hērōs utraque manū pulsat dareta	the hero strikes Dares with thick blows from each hand
utor	ōrātiōne utar aliēna	I shall use a foreign mode of speaking
utor	sevēritās quā tū in iīs rēbus ūsus es	the sternness which you have used in these matters
utor	valetudine bona utī	to have good health
utilis	miscēre utile dulci	to mix useful with pleasant
utinam	utinam lēx esset eadem, quae uxori est, virō !	if only the law which there is for the wife were the same for the husband!
utique	cōnsulum utique alter ex plēbe creatur	at least one consul is elected from the plebeians
